Movie_Show;Month_Start;Month_End
GM;2022-07;2023-01
NC;2023-01;2023-03
HV;2023-04;2023-12
MT;2023-03;2023-07
Nguoi Ay La Ai 2022;2022-05;2022-09
2 Ngay 1 Dem;2022-06;2022-10
The Masked Singer;2022-07;2022-10
Rap Viet 3;2023-05;NA
Nguoi Ay La Ai 2023;2023-05;NA
Hanh Trinh Ruc Ro;2023-05;NA
